puzzle_id,difficulty,empty_cells,time_ms,solved,correct,steps,backtracks
373,Extreme,49,4.428,True,True,49,0
374,Extreme,49,6.686,True,True,49,0
375,Extreme,49,3.856,True,True,49,0
376,Extreme,49,4.086,True,True,49,0
377,Extreme,49,5.924,True,True,49,0
378,Extreme,49,5.344,True,True,49,0
379,Extreme,49,5.082,True,True,49,0
380,Extreme,50,8.908,True,True,50,0
381,Extreme,49,7.086,True,True,49,0
382,Extreme,49,16.953,True,True,49,0
383,Extreme,49,9.207,True,True,49,0
384,Extreme,49,5.754,True,True,49,0
385,Extreme,50,20.031,True,True,50,0
386,Extreme,49,7.11,True,True,49,0
387,Extreme,49,5.455,True,True,49,0
388,Extreme,50,9.283,True,True,50,0
389,Extreme,49,5.687,True,True,49,0
390,Extreme,49,4.659,True,True,49,0
391,Extreme,49,5.086,True,True,49,0
392,Extreme,49,8.401,True,True,49,0
393,Extreme,49,7.307,True,True,49,0
394,Extreme,49,8.705,True,True,49,0
395,Extreme,49,5.365,True,True,49,0
396,Extreme,49,3.069,True,True,49,0
397,Extreme,49,13.549,True,True,49,0
398,Extreme,50,7.136,True,True,50,0
399,Extreme,49,11.787,True,True,49,0
400,Extreme,49,5.311,True,True,49,0
